Location,Individuals,People in Families with Children,Total People Experiencing Homelessness,year
Wyoming,500,298,798,2015
Guam,306,974,1280,2015
Northern Mariana Islands,N/A,N/A,N/A,2015
Puerto Rico,3929,589,4518,2015
Virgin Islands,308,29,337,2015
United States,355212,194716,549928,2016
Alabama,3019,1092,4111,2016
Alaska,1527,413,1940,2016
Arizona,6659,3048,9707,2016
Arkansas,1838,625,2463,2016
California,97660,20482,118142,2016
Colorado,6450,4100,10550,2016
Connecticut,2570,1332,3902,2016
Delaware,753,317,1070,2016
District of Columbia,3683,4667,8350,2016
Florida,24201,9358,33559,2016
Georgia,9265,3644,12909,2016
Hawaii,4590,3331,7921,2016
Idaho,1284,963,2247,2016
Illinois,6986,4604,11590,2016
Indiana,3824,1974,5798,2016
Iowa,1543,1521,3064,2016
Kansas,1228,1027,2255,2016
Kentucky,2949,1288,4237,2016
Louisiana,3176,818,3994,2016
Maine,1321,920,2241,2016
Maryland,4983,2706,7689,2016
Massachusetts,6434,13174,19608,2016
Michigan,5803,3513,9316,2016
Minnesota,3669,3672,7341,2016
Mississippi,1299,439,1738,2016
Missouri,3810,2384,6194,2016
Montana,844,574,1418,2016
Nebraska,1880,874,2754,2016
Nevada,6853,545,7398,2016
New Hampshire,827,539,1366,2016
New Jersey,5540,3355,8895,2016
New Mexico,1556,707,2263,2016
New York,35315,51037,86352,2016
North Carolina,6396,3163,9559,2016
North Dakota,662,261,923,2016
Ohio,6946,3458,10404,2016
Oklahoma,2997,1110,4107,2016
Oregon,9379,3859,13238,2016
Pennsylvania,8599,6740,15339,2016
Rhode Island,859,301,1160,2016
South Carolina,3758,1293,5051,2016
South Dakota,548,524,1072,2016
Tennessee,6652,2127,8779,2016
Texas,15959,7163,23122,2016
Utah,1828,979,2807,2016
Vermont,655,462,1117,2016
Virginia,3959,2309,6268,2016
Washington,13900,6927,20827,2016
West Virginia,1039,348,1387,2016
Wisconsin,2886,2799,5685,2016
Wyoming,517,340,857,2016
Guam,227,858,1085,2016
Northern Mariana Islands,N/A,N/A,N/A,2016
Puerto Rico,3799,619,4418,2016
Virgin Islands,308,33,341,2016
United States,366585,184411,550996,2017
Alabama,2985,808,3793,2017
Alaska,1354,491,1845,2017
Arizona,6488,2459,8947,2017
Arkansas,2068,399,2467,2017
California,110260,21272,131532,2017
Colorado,7571,3369,10940,2017
Connecticut,2208,1180,3388,2017
Delaware,615,379,994,2017
District of Columbia,3583,3890,7473,2017
Florida,22768,9422,32190,2017
Georgia,7422,2752,10174,2017
Hawaii,4535,2685,7220,2017
Idaho,1309,728,2037,2017
Illinois,6894,3904,10798,2017
Indiana,3623,1815,5438,2017
Iowa,1500,1256,2756,2017
Kansas,1423,864,2287,2017
Kentucky,3032,993,4025,2017
Louisiana,2559,746,3305,2017
Maine,1352,928,2280,2017
Maryland,5077,2170,7247,2017
Massachusetts,6267,11298,17565,2017
Michigan,5628,3423,9051,2017
Minnesota,3899,3769,7668,2017
Mississippi,1100,372,1472,2017
Missouri,3768,2269,6037,2017
Montana,987,542,1529,2017
Nebraska,1698,803,2501,2017
Nevada,7281,552,7833,2017
New Hampshire,776,680,1456,2017
New Jersey,5433,3103,8536,2017
New Mexico,1865,617,2482,2017
New York,37390,52113,89503,2017
North Carolina,6044,2918,8962,2017
North Dakota,832,257,1089,2017
Ohio,6688,3407,10095,2017
Oklahoma,2824,1375,4199,2017
Oregon,10434,3519,13953,2017
Pennsylvania,8271,5867,14138,2017
Rhode Island,802,378,1180,2017
South Carolina,2896,1020,3916,2017
South Dakota,611,332,943,2017
Tennessee,6137,2172,8309,2017
Texas,16708,6840,23548,2017
Utah,1882,970,2852,2017
Vermont,697,528,1225,2017
Virginia,4028,2039,6067,2017
Washington,14781,6331,21112,2017
West Virginia,1032,277,1309,2017
Wisconsin,2645,2382,5027,2017
Wyoming,622,251,873,2017
Guam,215,637,852,2017
Northern Mariana Islands,208,464,672,2017
Puerto Rico,3141,384,"3,525",2017
Virgin Islands,369,12,381,2017
United States,372417,180413,552830,2018
Alabama,2570,864,3434,2018
Alaska,1434,582,2016,2018
Arizona,7259,2606,9865,2018
Arkansas,2280,432,2712,2018
California,109008,20964,129972,2018
Colorado,7607,3250,10857,2018
Connecticut,2280,1696,3976,2018
Delaware,708,374,1082,2018
District of Columbia,3770,3134,6904,2018
Florida,21443,9587,31030,2018
Georgia,6943,2556,9499,2018
Hawaii,4131,2399,6530,2018
Idaho,1297,715,2012,2018
Illinois,6752,3891,10643,2018
Indiana,3776,1482,5258,2018
